n_Length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_AtSign,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,n_redirection,label
64,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,2,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,3,5,4,7,1,5,0,4,0,0,0,0,0,0,0,0,8,0,1
20,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,3,0,0,4,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
65,2,0,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
83,3,1,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1
51,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,3,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
144,2,3,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,4,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,4,1,0,4,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
43,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
123,5,1,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
102,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,5,4,0,7,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1
23,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,3,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,6,1,0,9,2,2,0,1,0,0,0,0,0,0,0,0,6,0,1
35,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,8,1,3,5,1,2,0,3,0,0,0,0,0,0,0,0,0,2,1
39,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
328,3,9,4,7,1,5,0,4,0,0,0,0,0,0,0,0,3,0,1
41,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1641,3,32,1,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
27,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,1,0,1,6,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
23,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,3,0,0,8,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
45,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
95,2,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
26,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,5,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,2,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,2,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,6,1,0,6,1,2,1,5,0,0,0,0,0,0,0,0,0,0,1
51,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
215,2,1,1,6,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
75,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,4,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
171,1,2,0,9,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
26,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
227,3,1,1,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
69,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,3,1,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1
41,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,3,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
251,2,3,0,11,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,2,4,0,3,1,5,0,4,2,0,0,0,0,0,0,0,3,1,1
43,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,2,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
255,2,0,1,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
79,4,0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
57,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
